timestamp_ms,ax,ay,az,gx,gy,gz,temp,pitch,roll
62741,-0.9556,-0.0574,-0.1614,-2.5878,1.1298,-0.6031,48.72,79.84,-160.43
63241,-0.9495,-0.0442,-0.1667,-2.2901,1.4427,-1.5954,49.00,79.70,-165.16
63741,-0.9604,-0.0378,-0.1619,-2.5573,1.2290,0.1832,48.86,80.18,-166.84
64241,-0.9504,-0.0576,-0.1582,-2.5191,0.9008,-0.9618,49.00,79.95,-159.99
64741,-0.9407,-0.0452,-0.1699,-2.6412,1.7252,-1.2672,48.95,79.41,-165.11
65241,-0.9512,-0.0601,-0.1553,-2.3206,0.8244,-3.3511,48.72,80.07,-158.85
65741,-0.9609,-0.0432,-0.1648,-2.7328,1.2595,-0.4351,48.95,79.95,-165.31
66241,-0.9504,-0.0542,-0.1670,-2.4885,0.5954,-0.8321,49.14,79.53,-162.02
66741,-0.9431,-0.0479,-0.1780,-2.2214,1.1298,-2.2443,48.86,78.94,-164.95
67241,-0.9597,-0.0557,-0.1614,-2.2672,0.6565,-1.0763,48.81,79.91,-160.97
67741,-0.9509,-0.0435,-0.1619,-2.1298,1.6794,-1.3893,48.95,80.00,-164.97
68241,-0.9387,-0.0491,-0.1475,-1.7939,1.0992,-2.6412,49.14,80.60,-161.59
68741,-0.9614,-0.0620,-0.1694,-1.6260,1.6031,-3.3053,49.05,79.37,-159.90
69241,-0.9641,-0.0493,-0.1731,-2.3511,-0.6412,-0.1756,49.00,79.43,-164.10
69741,-0.9570,-0.0564,-0.1670,-2.1527,1.1145,-1.6794,48.95,79.56,-161.34
70241,-0.9583,-0.0471,-0.1550,-2.8779,1.3664,-0.5878,48.86,80.40,-163.09
70741,-0.9458,-0.0554,-0.1572,-2.3282,0.8702,-1.7023,48.86,80.00,-160.58
71241,-0.9626,-0.0474,-0.1523,-2.4885,1.1679,-0.5267,48.72,80.59,-162.73
71741,-0.9514,-0.0493,-0.1709,-2.4122,1.4809,-0.6870,48.95,79.41,-163.90
72241,-0.9524,-0.0349,-0.1750,-2.6336,1.2290,-0.2595,49.00,79.38,-168.72
72741,-0.9490,-0.0513,-0.1382,-2.6565,1.5573,-0.5496,48.86,81.17,-159.64
73241,-0.9519,-0.0498,-0.1619,-2.4427,0.7099,-0.2672,48.81,79.91,-162.90
73741,-0.9702,-0.0754,-0.1719,-2.3130,0.7481,-1.9618,48.95,79.05,-156.30
74241,-0.9644,-0.0332,-0.1565,-2.3740,1.1527,-0.7786,48.86,80.58,-168.02
74741,-0.9607,-0.0503,-0.1687,-2.6107,1.2061,-0.5420,48.86,79.62,-163.40
75241,-0.9573,-0.0576,-0.1467,-2.5725,1.2519,-0.5878,48.95,80.65,-158.56
75741,-0.9651,-0.0354,-0.1729,-2.6412,1.0916,-1.0382,49.14,79.64,-168.43
76241,-0.9600,-0.0486,-0.1570,-2.7176,0.9237,-0.0229,48.95,80.29,-162.80
76741,-0.9497,-0.0486,-0.1670,-2.2901,0.8397,-2.1374,48.72,79.62,-163.78
77241,-0.9504,-0.0454,-0.1558,-2.3206,1.2519,-1.0000,48.81,80.31,-163.75
77741,-0.9470,-0.0605,-0.1621,-2.6107,0.9237,-1.8015,48.86,79.64,-159.52
78241,-0.9456,-0.0493,-0.1729,-2.6718,1.3817,-1.2519,49.14,79.24,-164.08
78741,-0.9666,-0.0508,-0.1558,-2.5802,0.9771,-0.1221,48.81,80.38,-161.94
79241,-0.9583,-0.0474,-0.1602,-1.5191,1.2977,-4.3130,48.81,80.11,-163.53
79741,-0.9521,-0.0630,-0.1643,-2.2061,0.4427,-2.3206,48.81,79.53,-159.03
80241,-0.9587,-0.0537,-0.1562,-2.7557,0.7863,-0.1527,49.00,80.22,-161.03
80741,-0.9653,-0.0454,-0.1646,-2.6336,1.1985,-0.3817,48.95,79.97,-164.57
81241,-1.0298,-0.0242,-0.2095,-3.3664,1.8397,-1.7176,48.86,78.43,-173.42
81741,-0.9609,-0.0449,-0.1667,-2.9618,1.0076,1.4351,48.81,79.81,-164.92
82241,-0.9426,-0.0632,-0.1565,-2.1145,1.1374,-1.1298,48.95,79.85,-158.00
82741,-0.9333,-0.0601,-0.1538,-1.9847,0.8702,-1.8473,48.81,79.97,-158.67
83241,-0.9387,-0.0415,-0.1870,-2.0076,0.6641,-4.7634,48.86,78.47,-167.49
83741,-0.9583,-0.0520,-0.1555,-2.8015,1.1527,1.3130,48.86,80.29,-161.51
84241,-0.9536,-0.0574,-0.1597,-2.3664,0.9695,-3.0000,48.86,79.91,-160.24
84741,-0.9592,-0.0413,-0.1621,-2.9924,0.8092,1.4504,49.00,80.11,-165.72
85241,-0.9451,-0.0603,-0.1702,-2.5878,0.6947,-0.9771,49.00,79.19,-160.49
85741,-0.9507,-0.0620,-0.1604,-2.2061,1.3359,-3.2061,48.72,79.75,-158.86
86241,-0.9480,-0.0571,-0.1609,-2.8321,1.0076,-0.0687,48.72,79.79,-160.45
86741,-0.9355,-0.0259,-0.1655,-2.9084,1.7786,1.9237,48.72,79.85,-171.11
87241,-0.9404,-0.0549,-0.1672,-1.9084,0.7099,-3.8397,48.81,79.40,-161.82
87741,-0.9465,-0.0703,-0.1445,-2.8626,1.5038,2.0916,49.14,80.36,-154.06
88241,-0.9519,-0.0459,-0.1824,-2.6412,1.0382,-2.0534,49.00,78.82,-165.87
88741,-0.9553,-0.0503,-0.1584,-2.5267,1.1374,-1.1145,49.00,80.13,-162.39
